row_id,user_email,user_full_name,user_phone,user_city,user_status,blood_type,donor_level,last_donation_date,preferred_channel,campaign_name,campaign_city,campaign_start_date,campaign_end_date,appointment_scheduled_at,appointment_status,appointment_location,notification_channel,notification_message,notification_status,notification_sent_at,ticket_id,ticket_subject,ticket_category,ticket_priority,ticket_status,ticket_tag_1,ticket_tag_2,ticket_tag_3,event_type,event_at,message_author_type,message_author_name,message_body,attachment_url,related_type,related_ref
11,user136@mail.com,Andres Rojas,3453017426,Bello,ACTIVE,O-,GOLD,2025-11-15,EMAIL,Reto Vida 2026 - Medellin,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000028,No puedo actualizar mis datos,NOTIFICATIONS,P1,OPEN,duplicate,bug,,TICKET_MESSAGE,2026-02-20 09:38:00,USER,Andres Rojas,"Sigue igual, no me deja.",,APPOINTMENT,APPT-000356
12,user135@mail.com,Santiago Suarez,3161227530,Envigado,INACTIVE,A-,SILVER,2025-11-08,EMAIL,Semana del Donante - Bogota,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000013,No veo la campaña en mi ciudad,OTHER,P1,IN_PROGRESS,bug,reschedule,,TICKET_STATUS_CHANGED,2026-02-16 13:09:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000246
13,user043@mail.com,Maria Cortes,3379965075,Bogota,INACTIVE,A-,SILVER,2025-11-06,EMAIL,Donacion Consciente - Valle de Aburra,Itagui,2026-02-01,2026-03-15,,,,,,,,TCK-000010,No veo la campaña en mi ciudad,CAMPAIGNS,P3,IN_PROGRESS,reschedule,,,TICKET_STATUS_CHANGED,2026-02-14 10:33:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000275
14,user130@mail.com,Andres Diaz,3574733848,Bello,ACTIVE,A+,BRONZE,2026-02-05,SMS,Jornada Salvadores de Vida,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000047,No puedo reprogramar mi cita,APPOINTMENTS,P1,OPEN,whatsapp,bug,duplicate,TICKET_CREATED,2026-02-17 07:52:00,USER,Andres Diaz,"Hola, necesito ayuda con esto.",,NOTIFICATION,NOTIF-000462
15,user164@mail.com,Santiago Herrera,3715437993,Sabaneta,ACTIVE,A+,SILVER,2025-09-02,EMAIL,Reto Vida 2026 - Medellin,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000088,No puedo reprogramar mi cita,NOTIFICATIONS,P1,OPEN,duplicate,provider,,TICKET_MESSAGE,2026-02-19 04:54:00,AGENT,Support Maria,"Ya validé el estado, te cuento:",,NOTIFICATION,NOTIF-000337
16,user064@mail.com,Ana Perez,3504556238,Sabaneta,ACTIVE,A+,BRONZE,2025-09-21,SMS,Jornada Salvadores de Vida,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000032,No puedo reprogramar mi cita,ACCOUNT,P4,IN_PROGRESS,provider,access,duplicate,TICKET_STATUS_CHANGED,2026-02-17 16:43:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000006
17,user151@mail.com,Santiago Herrera,3235369378,Bello,ACTIVE,B+,SILVER,2026-02-12,SMS,Jornada Salvadores de Vida,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000074,Problema con verificación de correo,CAMPAIGNS,P4,OPEN,email,,,TICKET_MESSAGE,2026-02-17 05:44:00,USER,Santiago Herrera,"Sí, confirmo los datos.",,APPOINTMENT,APPT-000308
18,user098@mail.com,Sara Cortes,3468862392,Envigado,ACTIVE,AB-,SILVER,2026-01-20,WHATSAPP,Donacion Consciente - Valle de Aburra,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000029,Problema con verificación de correo,OTHER,P3,OPEN,ui,timezone,,TICKET_MESSAGE,2026-02-18 08:13:00,AGENT,Support Maria,¿Puedes confirmar tu número/correo?,,APPOINTMENT,APPT-000106
19,user179@mail.com,Valentina Arias,3134074517,Medellin,ACTIVE,A-,GOLD,2026-01-29,SMS,Reto Vida 2026 - Medellin,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000084,Problema con verificación de correo,OTHER,P2,OPEN,verification,duplicate,sms,TICKET_MESSAGE,2026-02-19 17:59:00,AGENT,Support Andres,¿Puedes confirmar tu número/correo?,,NOTIFICATION,NOTIF-000283
20,user146@mail.com,Carolina Suarez,3662462873,Bogota,ACTIVE,A+,SILVER,2025-09-15,SMS,Jornada Salvadores de Vida,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000015,Problema con verificación de correo,OTHER,P2,IN_PROGRESS,whatsapp,timezone,,TICKET_STATUS_CHANGED,2026-02-15 22:37:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000090
21,user055@mail.com,Julian Diaz,3756551256,Bello,INACTIVE,B+,GOLD,2025-12-12,SMS,Reto Vida 2026 - Medellin,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000002,Me aparece mi cuenta duplicada,ACCOUNT,P3,OPEN,verification,,,TICKET_MESSAGE,2026-02-17 00:04:00,USER,Julian Diaz,"Gracias, quedo atento.",,NOTIFICATION,NOTIF-000281
22,user004@mail.com,Valentina Diaz,3034131647,Bello,ACTIVE,A+,SILVER,2025-11-30,WHATSAPP,Semana del Donante - Bogota,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000005,No veo la campaña en mi ciudad,ACCOUNT,P2,OPEN,whatsapp,,,TICKET_MESSAGE,2026-02-16 14:28:00,AGENT,Support Lina,Gracias por reportarlo. Estoy revisando.,,NOTIFICATION,NOTIF-000188
23,user151@mail.com,Santiago Herrera,3235369378,Bello,ACTIVE,B+,SILVER,2026-02-12,SMS,Donacion Consciente - Valle de Aburra,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000074,Problema con verificación de correo,CAMPAIGNS,P4,OPEN,reschedule,sms,,TICKET_MESSAGE,2026-02-17 08:28:00,AGENT,Support Andres,Gracias por reportarlo. Estoy revisando.,,APPOINTMENT,APPT-000308
24,user066@mail.com,Andres Arias,3474367136,Itagui,ACTIVE,B+,GOLD,2025-11-15,WHATSAPP,Donacion Consciente - Valle de Aburra,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000030,Me aparece mi cuenta duplicada,CAMPAIGNS,P3,OPEN,sms,,,TICKET_MESSAGE,2026-02-11 16:42:00,AGENT,Support Juan,Voy a escalarlo al proveedor.,,NOTIFICATION,NOTIF-000026
25,user126@mail.com,Juan Perez,3972896230,Itagui,ACTIVE,A-,BRONZE,2025-12-22,EMAIL,Donacion Consciente - Valle de Aburra,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000089,No puedo actualizar mis datos,APPOINTMENTS,P4,CLOSED,provider,,,TICKET_STATUS_CHANGED,2026-02-18 19:44:00,SYSTEM,system,Status changed from OPEN to CLOSED,,APPOINTMENT,APPT-000227
26,user179@mail.com,Valentina Arias,3134074517,Medellin,ACTIVE,A-,GOLD,2026-01-29,SMS,Semana del Donante - Bogota,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000084,Problema con verificación de correo,OTHER,P2,OPEN,verification,duplicate,reminder,TICKET_MESSAGE,2026-02-19 16:07:00,AGENT,Support Andres,"Ya validé el estado, te cuento:",,NOTIFICATION,NOTIF-000283
27,user031@mail.com,Juan Ramirez,3200379176,Bello,ACTIVE,AB+,SILVER,2025-12-12,WHATSAPP,Semana del Donante - Bogota,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000052,No me llegó el recordatorio,CAMPAIGNS,P1,OPEN,verification,bug,,TICKET_MESSAGE,2026-02-17 12:37:00,USER,Juan Ramirez,"Sí, confirmo los datos.",,NOTIFICATION,NOTIF-000191
28,user066@mail.com,Andres Arias,3474367136,Itagui,ACTIVE,B+,GOLD,2025-11-15,WHATSAPP,Semana del Donante - Bogota,Itagui,2026-02-01,2026-03-15,,,,,,,,TCK-000064,No veo la campaña en mi ciudad,CAMPAIGNS,P4,OPEN,email,timezone,,TICKET_MESSAGE,2026-02-10 21:35:00,AGENT,Support Lina,"Ya validé el estado, te cuento:",,APPOINTMENT,APPT-000372
29,user164@mail.com,Santiago Herrera,3715437993,Sabaneta,ACTIVE,A+,SILVER,2025-09-02,EMAIL,Semana del Donante - Bogota,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000088,No puedo reprogramar mi cita,NOTIFICATIONS,P1,OPEN,failed,,,TICKET_MESSAGE,2026-02-19 06:38:00,USER,Santiago Herrera,"Sí, confirmo los datos.",,NOTIFICATION,NOTIF-000337
30,user126@mail.com,Juan Perez,3972896230,Itagui,ACTIVE,A-,BRONZE,2025-12-22,EMAIL,Semana del Donante - Bogota,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000071,No puedo actualizar mis datos,APPOINTMENTS,P2,OPEN,sms,,,TICKET_MESSAGE,2026-02-15 00:35:00,AGENT,Support Andres,¿Puedes confirmar tu número/correo?,,APPOINTMENT,APPT-000017
31,user126@mail.com,Juan Perez,3972896230,Itagui,ACTIVE,A-,BRONZE,2025-12-22,EMAIL,Donacion Consciente - Valle de Aburra,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000089,No puedo actualizar mis datos,APPOINTMENTS,P4,OPEN,whatsapp,verification,,TICKET_MESSAGE,2026-02-18 12:35:00,AGENT,Support Maria,¿Puedes confirmar tu número/correo?,,APPOINTMENT,APPT-000227
32,user133@mail.com,Paula Bernal,3240049915,Envigado,INACTIVE,AB-,BRONZE,2026-01-08,EMAIL,Reto Vida 2026 - Medellin,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000045,Problema con verificación de correo,ACCOUNT,P3,IN_PROGRESS,provider,verification,,TICKET_STATUS_CHANGED,2026-02-17 06:38:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000455
33,user074@mail.com,Sofia Ramirez,3183933529,Medellin,ACTIVE,A+,BRONZE,2026-01-17,EMAIL,Reto Vida 2026 - Medellin,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000037,Me aparece mi cuenta duplicada,APPOINTMENTS,P1,OPEN,reminder,provider,,TICKET_MESSAGE,2026-02-16 20:12:00,USER,Sofia Ramirez,"Sigue igual, no me deja.",https://example.local/att/evidence.png,APPOINTMENT,APPT-000386
34,user112@mail.com,Sara Gomez,3715518844,Bogota,ACTIVE,B-,GOLD,2025-10-28,WHATSAPP,Jornada Salvadores de Vida,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000097,No me llegó el recordatorio,OTHER,P2,OPEN,duplicate,,,TICKET_MESSAGE,2026-02-10 22:49:00,USER,Sara Gomez,"Gracias, quedo atento.",https://example.local/att/evidence.png,NOTIFICATION,NOTIF-000023
35,user177@mail.com,Valentina Mejia,3887676772,Medellin,ACTIVE,A-,SILVER,2025-09-09,EMAIL,Jornada Salvadores de Vida,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000024,No veo la campaña en mi ciudad,ACCOUNT,P1,OPEN,bug,whatsapp,,TICKET_MESSAGE,2026-02-20 04:05:00,AGENT,Support Maria,Gracias por reportarlo. Estoy revisando.,,APPOINTMENT,APPT-000084
36,user037@mail.com,Paula Gomez,3729806990,Medellin,INACTIVE,A+,SILVER,2025-10-17,WHATSAPP,Jornada Salvadores de Vida,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000004,No puedo reprogramar mi cita,OTHER,P1,IN_PROGRESS,verification,,,TICKET_STATUS_CHANGED,2026-02-18 20:54:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000180
37,user054@mail.com,Maria Rojas,3139904902,Sabaneta,INACTIVE,B+,BRONZE,2026-01-28,EMAIL,Jornada Salvadores de Vida,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000079,Me aparece mi cuenta duplicada,APPOINTMENTS,P2,OPEN,ui,,,TICKET_MESSAGE,2026-02-13 23:47:00,AGENT,Support Lina,Gracias por reportarlo. Estoy revisando.,,NOTIFICATION,NOTIF-000273
38,user164@mail.com,Santiago Herrera,3715437993,Sabaneta,ACTIVE,A+,SILVER,2025-09-02,EMAIL,Donacion Consciente - Valle de Aburra,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000055,El SMS falló,CAMPAIGNS,P4,OPEN,ui,bug,verification,TICKET_MESSAGE,2026-02-14 08:49:00,AGENT,Support Lina,Voy a escalarlo al proveedor.,,APPOINTMENT,APPT-000083
39,user124@mail.com,Luisa Bernal,3872982595,Bogota,INACTIVE,B+,GOLD,2025-11-26,SMS,Jornada Salvadores de Vida,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000065,Me aparece mi cuenta duplicada,CAMPAIGNS,P1,OPEN,reschedule,,,TICKET_MESSAGE,2026-02-19 18:35:00,USER,Luisa Bernal,Adjunto evidencia.,,APPOINTMENT,APPT-000375
40,user152@mail.com,Julian Cortes,3252287280,Itagui,ACTIVE,O-,GOLD,2025-09-13,WHATSAPP,Donacion Consciente - Valle de Aburra,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000093,No puedo reprogramar mi cita,CAMPAIGNS,P4,OPEN,whatsapp,ui,email,TICKET_MESSAGE,2026-02-17 17:28:00,AGENT,Support Lina,Voy a escalarlo al proveedor.,,APPOINTMENT,APPT-000074
41,user164@mail.com,Santiago Herrera,3715437993,Sabaneta,ACTIVE,A+,SILVER,2025-09-02,EMAIL,Jornada Salvadores de Vida,Itagui,2026-02-01,2026-03-15,,,,,,,,TCK-000088,No puedo reprogramar mi cita,NOTIFICATIONS,P1,IN_PROGRESS,failed,email,,TICKET_STATUS_CHANGED,2026-02-19 06:50:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000337
42,user003@mail.com,Laura Mejia,3155940781,Sabaneta,ACTIVE,B+,GOLD,2026-02-06,EMAIL,Semana del Donante - Bogota,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000085,Error al confirmar cita,CAMPAIGNS,P4,OPEN,timezone,ui,failed,TICKET_MESSAGE,2026-02-19 11:25:00,AGENT,Support Andres,Gracias por reportarlo. Estoy revisando.,,NOTIFICATION,NOTIF-000181
43,user166@mail.com,Luisa Herrera,3793564651,Itagui,ACTIVE,A+,GOLD,2026-01-19,WHATSAPP,Semana del Donante - Bogota,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000060,No puedo reprogramar mi cita,OTHER,P1,IN_PROGRESS,failed,bug,verification,TICKET_STATUS_CHANGED,2026-02-14 01:16:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,NOTIFICATION,NOTIF-000120
44,user170@mail.com,Carolina Moreno,3507146112,Envigado,ACTIVE,B-,SILVER,2025-10-23,SMS,Jornada Salvadores de Vida,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000016,Error al confirmar cita,OTHER,P1,RESOLVED,ui,,,TICKET_STATUS_CHANGED,2026-02-12 08:16:00,SYSTEM,system,Status changed from OPEN to RESOLVED,,NOTIFICATION,NOTIF-000166
45,user104@mail.com,Paula Navarro,3405153195,Bogota,ACTIVE,B-,GOLD,2025-11-26,SMS,Semana del Donante - Bogota,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000082,No veo la campaña en mi ciudad,OTHER,P1,OPEN,provider,,,TICKET_MESSAGE,2026-02-17 16:17:00,AGENT,Support Maria,¿Puedes confirmar tu número/correo?,,NOTIFICATION,NOTIF-000254
46,user162@mail.com,Felipe Arias,3101581995,Sabaneta,ACTIVE,B+,SILVER,2025-12-09,WHATSAPP,Semana del Donante - Bogota,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000043,No puedo actualizar mis datos,OTHER,P4,OPEN,bug,verification,provider,TICKET_CREATED,2026-02-13 07:09:00,USER,Felipe Arias,Tengo un problema y no sé qué pasó.,,APPOINTMENT,APPT-000283
47,user134@mail.com,Maria Ramirez,3152742054,Itagui,ACTIVE,A+,GOLD,2026-02-11,EMAIL,Donacion Consciente - Valle de Aburra,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000009,El SMS falló,ACCOUNT,P4,IN_PROGRESS,failed,reminder,,TICKET_STATUS_CHANGED,2026-02-11 22:22:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000259
48,user064@mail.com,Ana Perez,3504556238,Sabaneta,ACTIVE,A+,BRONZE,2025-09-21,SMS,Semana del Donante - Bogota,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000032,No puedo reprogramar mi cita,ACCOUNT,P4,OPEN,bug,,,TICKET_CREATED,2026-02-17 15:41:00,USER,Ana Perez,No me funciona desde ayer.,https://example.local/att/screenshot.png,APPOINTMENT,APPT-000006
49,user098@mail.com,Sara Cortes,3468862392,Envigado,ACTIVE,AB-,SILVER,2026-01-20,WHATSAPP,Donacion Consciente - Valle de Aburra,Itagui,2026-02-01,2026-03-15,,,,,,,,TCK-000029,Problema con verificación de correo,OTHER,P3,OPEN,reschedule,,,TICKET_MESSAGE,2026-02-18 13:13:00,AGENT,Support Maria,Voy a escalarlo al proveedor.,,APPOINTMENT,APPT-000106
50,user152@mail.com,Julian Cortes,3252287280,Itagui,ACTIVE,O-,GOLD,2025-09-13,WHATSAPP,Donacion Consciente - Valle de Aburra,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000093,No puedo reprogramar mi cita,CAMPAIGNS,P4,RESOLVED,sms,ui,reschedule,TICKET_STATUS_CHANGED,2026-02-17 20:19:00,SYSTEM,system,Status changed from IN_PROGRESS to RESOLVED,,APPOINTMENT,APPT-000074
51,user073@mail.com,Daniel Torres,3585064317,Medellin,ACTIVE,O+,BRONZE,2025-11-25,WHATSAPP,Semana del Donante - Bogota,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000058,No me llegó el recordatorio,APPOINTMENTS,P4,RESOLVED,duplicate,sms,,TICKET_STATUS_CHANGED,2026-02-12 06:52:00,SYSTEM,system,Status changed from IN_PROGRESS to RESOLVED,,APPOINTMENT,APPT-000047
52,user134@mail.com,Maria Ramirez,3152742054,Itagui,ACTIVE,A+,GOLD,2026-02-11,EMAIL,Reto Vida 2026 - Medellin,Sabaneta,2026-02-01,2026-03-15,,,,,,,,TCK-000059,Me aparece mi cuenta duplicada,CAMPAIGNS,P4,OPEN,reminder,,,TICKET_MESSAGE,2026-02-17 14:19:00,AGENT,Support Juan,Voy a escalarlo al proveedor.,,NOTIFICATION,NOTIF-000082
53,user058@mail.com,Felipe Arias,3131712748,Bello,ACTIVE,AB+,SILVER,2025-12-30,WHATSAPP,Semana del Donante - Bogota,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000020,No puedo reprogramar mi cita,OTHER,P1,IN_PROGRESS,provider,,,TICKET_STATUS_CHANGED,2026-02-18 06:42:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000044
54,user031@mail.com,Juan Ramirez,3200379176,Bello,ACTIVE,AB+,SILVER,2025-12-12,WHATSAPP,Jornada Salvadores de Vida,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000052,No me llegó el recordatorio,CAMPAIGNS,P1,OPEN,verification,ui,,TICKET_CREATED,2026-02-17 09:29:00,USER,Juan Ramirez,¿Me pueden confirmar si está bien?,,NOTIFICATION,NOTIF-000191
55,user152@mail.com,Julian Cortes,3252287280,Itagui,ACTIVE,O-,GOLD,2025-09-13,WHATSAPP,Jornada Salvadores de Vida,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000093,No puedo reprogramar mi cita,CAMPAIGNS,P4,IN_PROGRESS,access,whatsapp,,TICKET_STATUS_CHANGED,2026-02-17 18:11:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000074
56,user067@mail.com,Paula Castro,3090974395,Bogota,ACTIVE,B+,GOLD,2026-02-16,SMS,Donacion Consciente - Valle de Aburra,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000086,No me llegó el recordatorio,CAMPAIGNS,P2,OPEN,email,verification,access,TICKET_CREATED,2026-02-11 23:36:00,USER,Paula Castro,No me funciona desde ayer.,,NOTIFICATION,NOTIF-000044
57,user021@mail.com,Maria Torres,3182449353,Bello,ACTIVE,AB-,SILVER,2025-09-14,WHATSAPP,Semana del Donante - Bogota,Bogota,2026-02-01,2026-03-15,,,,,,,,TCK-000033,El SMS falló,CAMPAIGNS,P4,OPEN,verification,,,TICKET_CREATED,2026-02-13 22:18:00,USER,Maria Torres,"Hola, necesito ayuda con esto.",,NOTIFICATION,NOTIF-000229
58,user134@mail.com,Maria Ramirez,3152742054,Itagui,ACTIVE,A+,GOLD,2026-02-11,EMAIL,Donacion Consciente - Valle de Aburra,Itagui,2026-02-01,2026-03-15,,,,,,,,TCK-000059,Me aparece mi cuenta duplicada,CAMPAIGNS,P4,OPEN,ui,,,TICKET_MESSAGE,2026-02-17 14:57:00,AGENT,Support Juan,Voy a escalarlo al proveedor.,,NOTIFICATION,NOTIF-000082
59,user110@mail.com,Camilo Moreno,3755719285,Sabaneta,ACTIVE,B+,BRONZE,2025-09-30,WHATSAPP,Semana del Donante - Bogota,Bello,2026-02-01,2026-03-15,,,,,,,,TCK-000075,No puedo reprogramar mi cita,ACCOUNT,P4,IN_PROGRESS,duplicate,,,TICKET_STATUS_CHANGED,2026-02-20 11:27:00,SYSTEM,system,Status changed from OPEN to IN_PROGRESS,,APPOINTMENT,APPT-000356
60,user128@mail.com,Mateo Cortes,3858549733,Envigado,ACTIVE,A-,SILVER,2025-11-13,SMS,Reto Vida 2026 - Medellin,Envigado,2026-02-01,2026-03-15,,,,,,,,TCK-000092,No veo la campaña en mi ciudad,NOTIFICATIONS,P2,OPEN,reschedule,,,TICKET_MESSAGE,2026-02-20 01:25:00,AGENT,Support Juan,Gracias por reportarlo. Estoy revisando.,,NOTIFICATION,NOTIF-000416
61,user085@mail.com,Julian Herrera,3036900343,Bogota,ACTIVE,B+,SILVER,2025-10-01,WHATSAPP,Semana del Donante - Bogota,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000039,No puedo actualizar mis datos,ACCOUNT,P3,OPEN,bug,whatsapp,provider,TICKET_MESSAGE,2026-02-20 02:42:00,USER,Julian Herrera,"Sí, confirmo los datos.",,NOTIFICATION,NOTIF-000288
62,user147@mail.com,Santiago Arias,3882634351,Sabaneta,ACTIVE,O-,GOLD,2025-10-19,WHATSAPP,Jornada Salvadores de Vida,Medellin,2026-02-01,2026-03-15,,,,,,,,TCK-000001,No puedo reprogramar mi cita,OTHER,P1,OPEN,verification,reschedule,,TICKET_MESSAGE,2026-02-11 07:37:00,AGENT,Support Lina,Gracias por reportarlo. Estoy revisando.,,NOTIFICATION,NOTIF-000471
